 Projekt Aspekt , Was ist gut? , Was kann verbessert , Weitere Vorschläge
 -------- , -------- , -------- ,-------- 
Kommunikation,,,
Zeitmanagement,,,
Zusammenarbeit,,,
Andere,,,
